ID,Lat,Long,ListPrice,SaleYear,Bathroom,Bedroom,BuiltYear,BuildDecade,MajorRenov,FinishSqFt,LotSqFt,MSA,City,HighSchool,SalePrice
61960407,41.867103,-87.774551,178892.3927,2009,1,2,1926,1920,NONE,1200,5597,Chicago,Oak Park,Oak Park & River Forest High School,196170.66966090995
3345585,42.107464,-87.778617,478511,2014,2,3,1957,1950,NONE,1578,9454,Chicago,Northfield,New Trier Township H S Winnetka,368526.81188508385
3483598,42.044651,-87.888992,89900,2013,1,1,NA,UNKNOWN,NONE,925,5248.5,Chicago,Des Plaines,Maine West High School,184401.29907499612
3583003,41.97145,-87.831476,424900,2014,3,7,1951,1950,NONE,3456,13068,Chicago,Norridge,Ridgewood Community High School,415947.2929494286
3590178,41.963699,-87.832438,219900,2013,1,3,1953,1950,NONE,1017,5140,Chicago,Norridge,Ridgewood Community High School,215502.43126929383
3732803,41.917143,-87.681381,725000,2013,3,4,1920,1920,NONE,2600,2400,Chicago,Chicago,Clemente Community Academy High School,623089.133364293
3817235,41.866764,-87.794735,299900,2013,1.5,3,NA,UNKNOWN,NONE,1550,8109,Chicago,Oak Park,Oak Park & River Forest High School,265972.1413053042
4191571,41.587432,-87.884208,35000,2014,2,3,1958,1950,NONE,1336,8103,Chicago,Orland Park,Carl Sandburg High School,179804.9704407709
4441843,41.867514,-88.081011,309900,2013,3,4,NA,UNKNOWN,NONE,2550.5,15472.04295,Chicago,Glen Ellyn,Glenbard West High School,310617.59674488317
4476860,41.88526,-87.941695,354900,2013,2,3,1952,1950,NONE,1748,8276,Chicago,Elmhurst,York Community High School,327405.59689398704
4537778,41.767673,-88.136432,335000,2014,3,4,NA,UNKNOWN,NONE,2789,13068,Chicago,Naperville,Naperville Central High School,340210.4422792408
58365531,41.894199,-87.685646,329900,2013,2,2,1930,1930,NONE,1500,6316,Chicago,Chicago,Wells Community Academy High School,327690.7186401226
62008131,41.933139,-87.70343,270000,2013,2,2,2013,2010,2002,1400,5793,Chicago,Chicago,Schurz High School,261394.80855582232
59685814,41.586641,-88.197084,29900,2013,2.5,4,NA,UNKNOWN,NONE,1815.5,7452.5,Chicago,Plainfield,Plainfield High School,185431.4705648154
62008391,41.914652,-87.692374,525000,2013,3,4,2005,2000,NONE,2800,11107,Chicago,Chicago,Clemente Community Academy High School,449168.4307002359
60269015,41.887077,-87.642372,289500,2013,1,1,2000,2000,NONE,900,6119.5,Chicago,Chicago,Crane Technical Prep High School,253980.28072456174
63704113,41.859527,-87.646385,250000,2013,2,2,2001,2000,NONE,1395.5,8232,Chicago,Chicago,Juarez Community Academy High School,243244.3807939314
63696115,41.912831,-87.686342,699900,2013,4,4,2002,2000,NONE,3120,11589,Chicago,Chicago,Clemente Community Academy High School,627363.9432889327
65558411,41.923141,-87.711845,254900,2013,2,2,NA,UNKNOWN,NONE,1300,8388,Chicago,Chicago,Clemente Community Academy High School,239344.48052632925
65564918,41.903854,-87.678695,469900,2013,3,3,2003,2000,NONE,2200,7622.5,Chicago,Chicago,Clemente Community Academy High School,396483.65438074054
70447713,41.915473,-87.80632,105000,2011,2,2,2003,2000,NONE,1302.5,6795,Chicago,Elmwood Park,NONE,192606.24609219714
80808684,41.880634,-87.651451,289900,2011,2,2,2006,2000,NONE,1480.5,8189,Chicago,Chicago,Crane Technical Prep High School,274671.4666009631
89178377,41.974527,-87.972892,42250,2014,2,3,NA,UNKNOWN,NONE,2099,14374,Chicago,Wood Dale,Fenton High School,197816.30887358758
87701479,41.907352,-87.681716,425000,2013,2,2,2006,2000,NONE,1301.5,5161.5,Chicago,Chicago,Clemente Community Academy High School,347098.70609146176
